Date,SystemType,Species,Location,WaterTemperature,Salinity,PHLevel,DissolvedOxygen,NitrogenLevel,PhosphorusLevel,StockingDensity,FeedConversionRatio,YieldKgPerM3,MarketPrice,OperatingCosts,GrossRevenue,EconomicPotential,MarketDemandGrowth,SustainabilityScore
2019-04-05,Integrated Multi-Trophic Aquaculture (IMTA) - Offshore,Tilapia (Blue),Canada (British Columbia),15.62,37.31,7.35,4.65,2.59,0.25,133.42,1.43,-34.15,3.9,-71.72,-133.19,-61.47,4.0,78.87
2020-09-21,Reservoir Aquaculture,Atlantic Salmon,Canada (Atlantic),21.25,34.0,6.72,7.65,2.95,0.3,102.51,1.34,-2.34,6.21,-7.49,-14.52,-7.04,3.0,59.05
2021-06-30,Offshore Cage System,Gilthead Sea Bream,Norway,20.85,35.87,6.75,6.61,2.08,0.25,66.28,1.79,11.11,6.96,45.57,77.3,31.73,2.5,84.19
2020-12-15,Recirculating Aquaculture System (RAS) - Small Scale,Barramundi,Ecuador,21.88,37.65,7.21,5.61,2.34,0.3,116.56,1.16,31.04,3.94,77.59,122.29,44.7,2.0,67.07
2019-08-21,Coastal Intensive Pond,European Sea Bass,Thailand,28.71,42.99,7.73,5.59,2.53,0.32,104.67,1.31,-147.65,5.89,-605.35,-869.89,-264.54,2.5,56.51
2019-10-18,Deep Sea Cage System,Rainbow Trout,USA (Hawaii),23.77,32.01,8.8,7.13,1.86,0.05,166.82,1.23,-258.62,4.77,-749.99,-1234.75,-484.76,2.0,51.02
2022-11-02,Coastal Extensive Pond,Catfish (Channel),Thailand,18.96,33.79,6.99,5.4,3.17,0.22,175.62,1.68,19.98,3.8,49.95,75.93,25.98,2.0,84.32
2021-08-04,Integrated Multi-Trophic Aquaculture (IMTA) - Offshore,Rainbow Trout,Turkey,17.78,38.21,7.04,5.91,3.52,0.4,187.42,2.01,-110.05,4.61,-319.16,-507.87,-188.71,2.0,50.73
2019-04-02,Deep Sea Cage System,Rainbow Trout,Australia (East Coast),21.24,28.86,7.43,2.87,2.58,0.28,50.52,1.91,-36.62,4.61,-106.21,-168.79,-62.59,2.0,91.53
2020-10-02,Deep Sea Cage System,Carp (Common),China (Southern Coast),19.97,36.14,7.21,5.95,3.16,0.22,85.56,2.09,43.52,4.09,108.8,177.89,69.09,2.0,87.96
2021-05-16,Deep Sea Cage System,Tilapia (Nile),China (Southern Coast),24.08,37.51,7.74,6.55,1.77,0.34,116.04,1.47,26.2,3.84,55.03,100.52,45.49,4.0,85.92
2020-02-07,Coastal Intensive Pond,Barramundi,Indonesia,7.44,33.7,6.57,6.36,2.35,0.44,60.66,1.6,-122.8,3.95,-307.0,-484.66,-177.66,2.0,57.27
2021-09-18,Coastal Intensive Pond,Gilthead Sea Bream,Vietnam,24.16,39.84,7.93,6.85,3.88,0.23,165.2,1.27,-71.6,6.99,-293.55,-500.69,-207.14,2.5,76.34
2018-08-26,Inland Raceway System,Barramundi,USA (Gulf Coast),17.29,40.26,6.78,5.82,2.59,0.21,170.82,1.76,-232.96,3.99,-582.4,-930.63,-348.22,2.0,56.93
2020-07-03,Integrated Multi-Trophic Aquaculture (IMTA) - Coastal,Tilapia (Nile),Australia (East Coast),22.59,35.54,7.44,6.16,2.34,0.17,120.22,1.96,142.59,3.4,299.44,484.25,184.81,4.0,61.58
2020-06-09,Inland Raceway System,Chinook Salmon,Turkey,9.07,36.06,7.89,6.21,2.46,0.31,95.32,1.18,-95.89,6.39,-306.83,-612.9,-306.07,3.0,90.13
2020-07-05,Inland Raceway System,European Sea Bass,Thailand,11.09,31.87,7.52,9.02,2.02,0.39,67.88,1.9,-55.52,6.89,-227.65,-382.52,-154.88,2.5,94.01
2018-08-17,Integrated Multi-Trophic Aquaculture (IMTA) - Offshore,Tilapia (Blue),China (Inland Provinces),25.47,41.22,7.58,4.21,2.53,0.32,117.37,1.74,-120.18,3.43,-252.38,-412.33,-159.95,4.0,75.23
2018-07-13,Recirculating Aquaculture System (RAS) - Small Scale,Carp (Silver),Canada (Atlantic),9.55,34.33,7.73,5.18,1.86,0.34,130.29,1.51,-60.61,4.17,-151.53,-252.67,-101.14,2.0,98.54
2020-02-03,Offshore Cage System,Carp (Silver),Greece,19.89,36.22,7.73,6.6,3.03,0.43,116.13,1.39,58.85,4.33,147.13,254.95,107.82,2.0,59.7
2019-05-29,Recirculating Aquaculture System (RAS) - Small Scale,Rainbow Trout,Canada (Atlantic),19.23,36.43,7.95,7.91,2.4,0.35,61.52,1.57,-0.54,5.14,-1.56,-2.77,-1.21,2.0,60.37
2020-07-08,Coastal Extensive Pond,Carp (Silver),Portugal,17.84,29.67,7.48,8.18,1.1,0.27,84.29,1.16,-35.65,3.89,-89.13,-138.57,-49.44,2.0,71.71
2022-12-12,Integrated Multi-Trophic Aquaculture (IMTA) - Offshore,Rainbow Trout,Australia (East Coast),23.09,31.98,7.3,4.32,1.9,0.29,165.27,2.17,45.71,4.6,132.56,210.44,77.88,2.0,89.21
2022-04-09,Reservoir Aquaculture,European Eel,China (Southern Coast),23.55,38.29,7.91,6.29,2.76,0.55,103.44,2.26,-11.63,3.68,-29.06,-42.78,-13.72,2.0,77.74
2019-06-08,Integrated Multi-Trophic Aquaculture (IMTA) - Offshore,Black Tiger Shrimp,Chile,13.07,35.25,8.59,6.95,2.28,0.39,91.41,1.62,-171.78,7.87,-773.02,-1351.19,-578.17,3.5,69.17
2021-08-19,Recirculating Aquaculture System (RAS) - Small Scale,Catfish (Channel),Brazil,30.47,39.25,8.61,6.87,2.75,0.21,100.37,2.19,-178.7,3.9,-446.74,-697.45,-250.71,2.0,91.92
2018-08-09,Integrated Multi-Trophic Aquaculture (IMTA) - Coastal,Rainbow Trout,Canada (Atlantic),19.53,28.92,7.41,8.95,2.44,0.2,134.43,0.96,-84.13,4.55,-243.98,-383.15,-139.17,2.0,57.02
2020-09-27,Inland Raceway System,Rainbow Trout,China (Southern Coast),19.85,34.58,6.89,6.47,1.79,0.22,144.56,2.1,45.18,5.05,131.02,228.27,97.25,2.0,51.5
2019-03-02,Recirculating Aquaculture System (RAS) - Industrial Scale,Gilthead Sea Bream,Canada (British Columbia),24.5,34.21,7.28,4.48,2.54,0.34,185.32,1.62,121.76,7.01,499.2,853.95,354.75,2.5,52.56
2020-05-23,Reservoir Aquaculture,Tilapia (Nile),Turkey,22.15,33.77,7.04,3.68,3.23,0.23,101.17,1.26,49.51,3.82,103.97,189.11,85.15,4.0,89.5
2019-12-04,Offshore Cage System,Tilapia (Nile),Brazil,21.6,34.02,8.82,6.1,3.53,0.39,142.03,1.61,-65.95,3.72,-138.5,-245.53,-107.03,4.0,76.56
2021-01-28,Deep Sea Cage System,Black Tiger Shrimp,Australia (West Coast),19.51,32.02,7.16,8.63,3.23,0.25,50.84,1.05,-27.46,7.21,-123.56,-198.07,-74.51,3.5,58.64
2018-02-27,Coastal Intensive Pond,Barramundi,Spain,16.17,31.84,6.7,8.82,2.16,0.44,145.96,1.43,-201.94,3.84,-504.86,-776.19,-271.34,2.0,53.96
2018-06-29,Offshore Cage System,Tilapia (Blue),Turkey,22.72,32.56,6.69,5.92,2.98,0.21,167.09,0.96,-44.45,3.36,-93.34,-149.53,-56.19,4.0,64.16
2021-09-07,Recirculating Aquaculture System (RAS) - Small Scale,Tilapia (Nile),Spain,23.49,36.1,7.88,7.21,2.31,0.41,120.39,1.59,41.69,3.49,87.56,145.42,57.86,4.0,69.38
2021-02-18,Integrated Multi-Trophic Aquaculture (IMTA) - Offshore,Carp (Silver),USA (Gulf Coast),25.14,35.29,6.96,6.46,1.79,0.2,170.11,1.38,45.01,4.34,112.52,195.48,82.96,2.0,87.97
2019-12-28,Offshore Cage System,European Sea Bass,Spain,16.19,38.97,7.52,6.35,2.47,0.28,83.76,1.63,-53.63,6.92,-219.88,-370.92,-151.04,2.5,73.61
2022-11-12,Integrated Multi-Trophic Aquaculture (IMTA) - Coastal,Chinook Salmon,Chile,22.89,35.86,8.08,5.25,2.48,0.38,113.82,1.32,60.15,5.2,192.49,312.77,120.29,3.0,72.32
2018-05-27,Deep Sea Cage System,Gilthead Sea Bream,Australia (East Coast),20.49,36.99,7.59,7.33,2.98,0.37,192.04,1.4,127.01,5.3,520.74,673.13,152.4,2.5,80.22
2022-12-25,Recirculating Aquaculture System (RAS) - Industrial Scale,Tilapia (Blue),Chile,15.18,37.86,7.46,3.75,2.77,0.28,116.01,1.54,-51.68,3.73,-108.52,-192.83,-84.31,4.0,88.42
2020-06-19,Coastal Extensive Pond,Atlantic Salmon,Norway,20.87,36.81,7.48,8.58,2.85,0.32,114.77,1.67,58.42,6.05,186.93,353.6,166.66,3.0,98.24
2018-08-01,Inland Raceway System,Chinook Salmon,Canada (Atlantic),11.59,33.84,8.38,6.22,2.55,0.4,68.36,1.23,-100.7,5.05,-322.23,-508.47,-186.24,3.0,79.45
2021-09-28,Integrated Multi-Trophic Aquaculture (IMTA) - Offshore,Rainbow Trout,Scotland,22.08,37.78,7.24,4.76,2.44,0.34,138.82,1.14,45.64,4.83,132.36,220.4,88.04,2.0,76.51
2020-08-07,Recirculating Aquaculture System (RAS) - Small Scale,Atlantic Salmon,Portugal,25.08,33.85,7.25,4.98,2.32,0.36,158.38,0.89,61.26,5.9,196.04,361.2,165.16,3.0,83.62
2021-01-12,Integrated Multi-Trophic Aquaculture (IMTA) - Coastal,European Eel,Portugal,18.71,32.89,7.82,7.41,2.35,0.23,126.21,1.52,-5.87,4.11,-14.69,-24.15,-9.46,2.0,58.34
2018-02-16,Recirculating Aquaculture System (RAS) - Industrial Scale,Rainbow Trout,USA (Hawaii),25.91,34.7,8.13,7.3,2.47,0.3,137.23,1.68,-5.2,4.47,-15.07,-23.24,-8.17,2.0,58.07
2020-06-27,Coastal Intensive Pond,European Eel,China (Inland Provinces),18.75,31.61,7.01,5.92,2.19,0.33,139.04,1.32,-53.0,3.79,-132.5,-201.07,-68.57,2.0,90.19
2018-11-22,Integrated Multi-Trophic Aquaculture (IMTA) - Offshore,Carp (Silver),Ecuador,34.03,33.68,7.14,7.06,2.6,0.22,132.19,0.24,-126.6,4.21,-316.5,-532.42,-215.92,2.0,96.21
2020-06-23,Offshore Cage System,Tilapia (Blue),Thailand,22.66,41.84,7.83,6.92,2.31,0.3,107.58,1.38,-133.01,3.54,-279.33,-470.62,-191.3,4.0,85.88
2021-08-13,Offshore Cage System,Rainbow Trout,Canada (Atlantic),21.71,34.11,7.24,7.03,2.5,0.23,196.48,1.06,151.11,4.39,438.21,663.49,225.27,2.0,70.51
2018-08-21,Inland Raceway System,Carp (Silver),USA (Gulf Coast),24.81,33.65,7.75,6.06,3.41,0.56,161.88,1.36,42.1,3.79,105.24,159.55,54.31,2.0,98.23
2022-07-30,Inland Raceway System,Tilapia (Nile),Norway,23.68,38.41,7.7,5.71,2.41,0.34,175.39,1.56,2.15,3.75,4.51,8.05,3.55,4.0,64.69
2020-03-22,Integrated Multi-Trophic Aquaculture (IMTA) - Coastal,Carp (Common),USA (Gulf Coast),11.56,34.01,6.74,2.91,1.95,0.3,60.92,1.32,-38.94,4.28,-97.35,-166.77,-69.43,2.0,67.64
2019-01-05,Recirculating Aquaculture System (RAS) - Industrial Scale,European Eel,China (Inland Provinces),15.84,37.04,7.06,4.32,2.2,0.36,134.42,1.71,-34.66,3.85,-86.66,-133.53,-46.87,2.0,76.34
2021-05-31,Recirculating Aquaculture System (RAS) - Small Scale,Giant River Prawn,Vietnam,15.77,32.27,7.86,5.53,2.26,0.41,143.88,1.25,-56.73,4.18,-141.83,-237.35,-95.53,2.0,85.41
2018-07-06,Coastal Intensive Pond,Catfish (Channel),USA (Gulf Coast),14.96,33.15,7.99,8.37,2.61,0.24,123.28,1.59,-105.14,3.75,-262.85,-394.48,-131.63,2.0,74.09
2018-02-02,Integrated Multi-Trophic Aquaculture (IMTA) - Offshore,Tilapia (Nile),China (Inland Provinces),13.7,39.26,7.17,8.6,2.77,0.35,119.23,1.28,-156.87,3.45,-329.43,-540.69,-211.26,4.0,51.29
2019-09-18,Recirculating Aquaculture System (RAS) - Industrial Scale,Carp (Silver),Portugal,12.17,33.54,7.5,7.96,2.19,0.38,134.1,1.53,-44.47,3.73,-111.19,-165.95,-54.76,2.0,54.88
2018-01-02,Recirculating Aquaculture System (RAS) - Small Scale,Tilapia (Blue),Portugal,18.19,36.22,7.61,5.84,1.88,0.21,188.11,1.8,70.46,3.35,147.96,236.14,88.18,4.0,51.37
2022-09-22,Integrated Multi-Trophic Aquaculture (IMTA) - Coastal,Tilapia (Nile),Australia (West Coast),19.01,34.69,6.75,7.29,1.84,0.39,155.19,0.59,-8.34,3.3,-17.5,-27.54,-10.03,4.0,88.15
2018-12-30,Integrated Multi-Trophic Aquaculture (IMTA) - Offshore,Catfish (Channel),Norway,33.29,33.91,7.95,3.78,1.24,0.42,128.32,1.25,-143.63,4.24,-359.07,-608.9,-249.83,2.0,60.59
2021-05-17,Inland Raceway System,Chinook Salmon,Ecuador,19.95,31.77,6.97,3.4,2.7,0.21,51.96,1.49,-5.49,5.34,-17.58,-29.34,-11.76,3.0,80.02
2021-12-26,Deep Sea Cage System,Catfish (Channel),USA (Hawaii),9.98,40.47,8.08,5.52,2.59,0.32,87.59,2.05,-306.32,4.48,-765.81,-1372.59,-606.78,2.0,83.26
2021-02-04,Recirculating Aquaculture System (RAS) - Industrial Scale,Giant River Prawn,USA (Gulf Coast),16.12,36.48,8.17,4.71,2.14,0.42,61.43,1.93,-32.4,3.7,-81.01,-119.9,-38.89,2.0,90.85
2019-07-13,Deep Sea Cage System,Atlantic Salmon,Australia (East Coast),17.52,35.28,8.06,7.79,2.46,0.5,115.1,1.98,-11.9,5.63,-38.09,-67.03,-28.95,3.0,68.24
2020-12-21,Coastal Intensive Pond,Black Tiger Shrimp,Indonesia,15.94,32.56,8.05,3.37,2.56,0.31,188.08,1.05,-82.8,7.12,-372.61,-589.92,-217.3,3.5,82.61
2019-06-05,Integrated Multi-Trophic Aquaculture (IMTA) - Offshore,Carp (Silver),Vietnam,14.66,40.0,6.8,3.71,2.02,0.41,140.16,1.34,-185.86,4.43,-464.65,-823.9,-359.25,2.0,74.29
2020-08-31,Integrated Multi-Trophic Aquaculture (IMTA) - Offshore,European Eel,Vietnam,25.86,31.57,7.36,8.62,2.66,0.15,88.07,1.21,-21.6,4.22,-54.01,-91.1,-37.09,2.0,85.84
2022-10-07,Reservoir Aquaculture,Carp (Silver),Thailand,18.5,37.24,8.3,8.19,3.3,0.36,121.89,1.45,-49.23,3.92,-123.07,-192.94,-69.86,2.0,56.51
2022-07-26,Coastal Intensive Pond,Black Tiger Shrimp,China (Inland Provinces),28.38,30.17,6.73,7.25,2.32,0.11,87.21,1.24,-152.92,5.87,-688.16,-898.11,-209.96,3.5,51.12
2022-02-23,Inland Raceway System,Rainbow Trout,Brazil,20.34,33.71,7.84,4.0,2.51,0.28,115.44,1.51,56.64,4.68,164.26,265.3,101.04,2.0,50.19
2022-10-13,Coastal Extensive Pond,Rainbow Trout,Scotland,22.1,36.62,8.42,7.21,2.73,0.43,164.33,1.57,-23.11,4.74,-67.02,-109.65,-42.63,2.0,56.89
2019-08-05,Recirculating Aquaculture System (RAS) - Industrial Scale,Gilthead Sea Bream,Thailand,23.04,40.77,7.72,9.29,2.65,0.24,68.15,1.27,-39.93,6.34,-163.71,-253.06,-89.35,2.5,91.68
2018-05-13,Integrated Multi-Trophic Aquaculture (IMTA) - Coastal,Chinook Salmon,Canada (British Columbia),13.93,35.64,7.56,5.3,2.63,0.3,166.96,1.31,6.88,4.84,22.0,33.25,11.25,3.0,79.29
2020-05-10,Offshore Cage System,Carp (Silver),Vietnam,24.95,41.36,6.72,5.81,1.95,0.34,166.61,1.54,-226.62,3.61,-566.55,-817.84,-251.29,2.0,52.25
2018-04-17,Integrated Multi-Trophic Aquaculture (IMTA) - Offshore,Gilthead Sea Bream,Australia (East Coast),27.54,34.02,7.9,8.35,3.05,0.29,132.76,1.89,-23.38,5.69,-95.86,-133.01,-37.15,2.5,78.92
2021-10-06,Offshore Cage System,Catfish (Channel),Canada (Atlantic),30.16,38.53,7.46,7.72,2.82,0.29,162.84,2.13,-132.05,3.94,-330.13,-520.13,-190.0,2.0,94.42
2022-11-03,Coastal Extensive Pond,Tilapia (Nile),Brazil,24.8,37.84,7.62,6.71,2.55,0.38,66.77,1.61,2.92,3.9,6.12,11.36,5.24,4.0,55.88
2022-02-22,Reservoir Aquaculture,Chinook Salmon,Ecuador,22.02,29.76,7.05,9.41,2.64,0.26,105.06,1.74,-64.43,6.26,-206.16,-403.22,-197.06,3.0,50.71
2021-01-07,Reservoir Aquaculture,Atlantic Salmon,Australia (East Coast),23.77,32.81,7.55,6.49,2.57,0.13,196.25,1.61,79.97,5.45,255.92,435.86,179.94,3.0,85.95
2022-09-14,Recirculating Aquaculture System (RAS) - Small Scale,European Sea Bass,Norway,21.53,31.79,7.87,3.0,2.91,0.34,107.47,1.42,20.28,7.34,83.17,148.94,65.78,2.5,59.87
2022-02-07,Reservoir Aquaculture,Tilapia (Nile),USA (Gulf Coast),25.91,38.77,6.98,7.71,2.84,0.3,53.48,1.33,-41.71,3.46,-87.6,-144.3,-56.7,4.0,52.99
2019-04-23,Inland Raceway System,White Leg Shrimp,Indonesia,18.68,40.47,7.59,7.99,2.62,0.25,118.96,1.68,-90.81,8.63,-408.66,-783.85,-375.19,3.5,84.13
2018-07-04,Inland Raceway System,White Leg Shrimp,Greece,26.57,35.57,6.78,3.79,2.27,0.33,95.87,2.46,13.72,7.01,61.73,96.21,34.48,3.5,86.23
2020-07-23,Coastal Extensive Pond,Barramundi,Thailand,23.05,30.93,7.41,7.28,2.94,0.37,142.05,1.35,-0.11,4.24,-0.27,-0.47,-0.19,2.0,61.68
2021-06-19,Coastal Extensive Pond,European Eel,China (Southern Coast),25.47,33.6,7.44,6.3,2.19,0.16,189.13,1.23,35.36,3.94,88.41,139.24,50.83,2.0,84.22
2020-09-10,Integrated Multi-Trophic Aquaculture (IMTA) - Offshore,Tilapia (Blue),Vietnam,27.34,30.97,7.35,4.59,1.82,0.49,118.91,1.36,-67.66,3.71,-142.09,-251.01,-108.92,4.0,68.66
2019-07-17,Deep Sea Cage System,Barramundi,USA (Hawaii),18.37,35.42,6.82,5.94,1.81,0.29,155.58,1.67,12.7,4.56,31.76,57.94,26.18,2.0,95.85
2019-11-09,Offshore Cage System,European Sea Bass,Canada (British Columbia),16.6,36.35,7.45,5.35,2.74,0.29,73.48,1.48,19.99,6.24,81.94,124.69,42.75,2.5,89.55
2020-12-08,Offshore Cage System,Chinook Salmon,Canada (British Columbia),22.62,34.87,7.83,6.51,2.48,0.44,90.45,0.86,92.81,5.68,296.98,527.24,230.26,3.0,78.9
2020-02-05,Integrated Multi-Trophic Aquaculture (IMTA) - Coastal,Catfish (Channel),Ecuador,20.34,37.79,8.03,6.84,1.72,0.37,165.19,1.8,-30.49,4.52,-76.22,-137.79,-61.58,2.0,56.66
2021-07-27,Offshore Cage System,European Eel,Brazil,20.23,37.66,7.34,5.13,2.48,0.17,192.46,1.58,40.52,4.2,101.29,170.12,68.83,2.0,68.11
2022-08-18,Coastal Intensive Pond,Tilapia (Blue),Canada (Atlantic),26.16,39.31,7.56,4.87,2.23,0.28,67.55,1.58,-26.52,3.71,-55.7,-98.33,-42.63,4.0,93.36
2018-10-27,Recirculating Aquaculture System (RAS) - Small Scale,European Sea Bass,Scotland,16.74,35.87,7.58,4.92,3.1,0.31,98.39,0.83,20.13,6.18,82.54,124.43,41.89,2.5,67.34
2018-02-26,Inland Raceway System,Rainbow Trout,Ecuador,19.68,37.33,8.71,7.31,3.43,0.26,176.15,1.31,-199.07,4.84,-577.3,-962.57,-385.27,2.0,59.13
2019-06-23,Coastal Intensive Pond,Atlantic Salmon,Thailand,21.86,32.96,7.22,7.26,2.73,0.38,68.79,1.22,36.77,5.07,117.66,186.53,68.87,3.0,69.63
2021-08-23,Integrated Multi-Trophic Aquaculture (IMTA) - Offshore,White Leg Shrimp,USA (Gulf Coast),23.99,33.17,7.55,5.31,2.06,0.41,78.09,1.46,49.79,7.17,224.07,357.26,133.19,3.5,64.79
2019-10-09,Reservoir Aquaculture,Catfish (Channel),Australia (West Coast),15.11,37.14,7.51,8.34,2.61,0.23,135.39,1.38,-15.98,3.56,-39.94,-56.9,-16.96,2.0,60.0
2022-02-20,Offshore Cage System,Chinook Salmon,USA (Hawaii),15.49,40.02,7.81,6.58,2.97,0.39,197.82,1.97,-293.05,5.27,-937.75,-1543.71,-605.95,3.0,56.32
2020-02-10,Reservoir Aquaculture,Giant River Prawn,China (Southern Coast),17.39,34.9,7.43,3.37,2.17,0.44,179.77,1.15,109.32,4.52,273.29,493.57,220.29,2.0,54.55
2022-09-01,Offshore Cage System,Rainbow Trout,Thailand,24.75,34.64,6.56,5.81,3.02,0.18,125.43,1.72,-5.55,5.43,-16.08,-30.09,-14.01,2.0,53.05
2022-01-29,Integrated Multi-Trophic Aquaculture (IMTA) - Coastal,Tilapia (Nile),Greece,24.72,34.06,8.74,5.26,2.21,0.32,52.66,1.96,-22.49,3.47,-47.23,-78.12,-30.89,4.0,61.82
2019-07-20,Reservoir Aquaculture,Rainbow Trout,Turkey,16.99,34.09,8.35,5.34,2.86,0.35,98.95,1.36,-23.66,5.24,-68.62,-124.02,-55.4,2.0,81.78
2022-04-20,Offshore Cage System,Tilapia (Blue),Indonesia,14.05,33.89,7.17,6.83,2.34,0.43,77.9,1.38,-33.21,3.44,-69.74,-114.15,-44.41,4.0,93.37
2020-06-16,Recirculating Aquaculture System (RAS) - Small Scale,Carp (Silver),Australia (West Coast),19.3,36.32,7.1,5.56,2.11,0.22,97.01,1.88,13.89,3.62,34.73,50.29,15.56,2.0,55.76
2021-04-10,Deep Sea Cage System,Carp (Common),Indonesia,27.22,37.25,8.32,6.72,2.2,0.51,107.41,1.16,-127.76,4.58,-319.4,-585.22,-265.82,2.0,72.39
2021-02-19,Integrated Multi-Trophic Aquaculture (IMTA) - Offshore,Black Tiger Shrimp,Brazil,24.79,39.88,7.49,6.28,3.54,0.23,148.46,1.7,-60.06,6.13,-270.25,-368.0,-97.75,3.5,51.78
2022-01-26,Reservoir Aquaculture,Atlantic Salmon,China (Southern Coast),23.01,37.37,8.1,5.13,3.21,0.45,123.06,1.59,4.65,5.25,14.89,24.46,9.56,3.0,62.43
2019-07-11,Coastal Extensive Pond,Tilapia (Blue),Chile,18.23,28.85,7.15,5.93,3.15,0.25,69.84,1.63,-67.73,3.93,-142.24,-266.16,-123.92,4.0,73.3
2022-01-27,Coastal Extensive Pond,Barramundi,Portugal,23.88,37.49,7.22,4.48,2.68,0.25,197.79,1.25,30.4,4.25,76.01,129.07,53.06,2.0,66.8
2022-03-07,Offshore Cage System,Carp (Silver),Canada (British Columbia),25.66,40.12,6.71,5.32,2.82,0.46,63.11,1.44,-86.22,3.7,-215.56,-319.27,-103.71,2.0,76.96
2019-08-12,Inland Raceway System,Giant River Prawn,Australia (East Coast),18.25,37.29,7.28,7.38,2.42,0.16,181.41,1.12,-7.77,3.9,-19.43,-30.29,-10.86,2.0,53.54
2021-11-20,Coastal Extensive Pond,Black Tiger Shrimp,Spain,28.84,38.02,7.24,4.61,2.58,0.28,193.71,1.36,-113.42,6.26,-510.4,-710.45,-200.05,3.5,78.05
2022-03-08,Recirculating Aquaculture System (RAS) - Industrial Scale,Rainbow Trout,Vietnam,13.39,41.42,7.55,6.26,2.11,0.39,115.15,1.35,-188.03,4.66,-545.29,-876.17,-330.88,2.0,62.11
2022-06-19,Inland Raceway System,Carp (Common),Chile,19.28,34.11,6.68,3.06,2.55,0.31,168.12,1.76,61.35,3.72,153.38,228.39,75.01,2.0,71.39
2021-03-01,Recirculating Aquaculture System (RAS) - Small Scale,Rainbow Trout,Chile,12.3,32.33,7.71,8.16,2.53,0.18,89.17,1.23,-69.81,5.28,-202.45,-368.82,-166.37,2.0,92.15
2020-02-19,Recirculating Aquaculture System (RAS) - Industrial Scale,Giant River Prawn,China (Inland Provinces),11.25,35.55,7.1,3.44,3.39,0.07,125.31,0.95,-81.86,4.26,-204.66,-348.6,-143.94,2.0,61.14
2022-03-12,Coastal Extensive Pond,Tilapia (Blue),Chile,25.87,31.0,7.23,7.31,2.09,0.33,195.49,1.94,-67.57,3.59,-141.89,-242.91,-101.01,4.0,56.06
2021-09-30,Recirculating Aquaculture System (RAS) - Industrial Scale,European Sea Bass,Spain,22.92,29.62,7.24,7.57,2.15,0.15,114.09,1.84,-78.55,7.23,-322.07,-567.71,-245.64,2.5,73.18
2019-03-31,Inland Raceway System,Rainbow Trout,Norway,23.47,36.94,7.15,3.12,2.81,0.41,183.96,1.49,91.92,4.75,266.55,436.33,169.78,2.0,86.2
2021-01-19,Coastal Intensive Pond,European Eel,China (Inland Provinces),19.51,33.95,6.57,7.04,2.15,0.31,106.84,1.41,-23.24,4.45,-58.09,-103.51,-45.42,2.0,74.39
2022-04-28,Inland Raceway System,Gilthead Sea Bream,Norway,29.6,36.95,8.14,7.28,2.75,0.45,104.85,1.48,-89.29,7.28,-366.1,-649.77,-283.66,2.5,55.62
2019-08-15,Recirculating Aquaculture System (RAS) - Small Scale,Rainbow Trout,China (Inland Provinces),23.29,37.06,6.94,6.75,2.21,0.27,112.29,1.56,-1.8,5.43,-5.22,-9.78,-4.56,2.0,58.21
2021-02-19,Reservoir Aquaculture,Gilthead Sea Bream,Australia (East Coast),21.6,31.77,7.14,4.37,2.62,0.34,195.85,1.62,21.54,5.7,88.33,122.87,34.54,2.5,97.81
2018-01-26,Integrated Multi-Trophic Aquaculture (IMTA) - Coastal,Barramundi,Thailand,28.06,34.83,6.88,6.23,2.59,0.31,88.48,1.62,-11.62,3.79,-29.05,-44.0,-14.95,2.0,83.76
2018-03-14,Recirculating Aquaculture System (RAS) - Small Scale,Gilthead Sea Bream,Australia (West Coast),20.92,36.55,7.37,7.44,2.55,0.1,116.34,1.73,56.27,6.28,230.71,353.52,122.81,2.5,99.94
2022-09-02,Coastal Extensive Pond,Barramundi,Brazil,19.55,31.19,7.88,5.95,2.04,0.38,75.69,1.64,-20.52,3.82,-51.3,-78.32,-27.01,2.0,62.79
2021-04-08,Coastal Intensive Pond,Atlantic Salmon,Chile,25.73,29.96,7.48,5.62,3.02,0.32,79.35,1.66,-60.47,5.52,-193.49,-333.78,-140.29,3.0,88.1
2021-02-22,Recirculating Aquaculture System (RAS) - Industrial Scale,Tilapia (Blue),Thailand,18.64,33.71,7.07,4.41,2.43,0.31,191.67,1.94,51.65,3.66,108.47,188.88,80.41,4.0,53.57
2021-12-13,Offshore Cage System,Tilapia (Blue),China (Southern Coast),22.7,34.58,7.49,6.19,2.74,0.42,193.86,1.82,240.05,3.67,504.1,881.61,377.51,4.0,63.44
2018-09-17,Integrated Multi-Trophic Aquaculture (IMTA) - Offshore,Barramundi,Ecuador,10.47,42.07,7.48,6.27,2.34,0.37,113.88,1.61,-231.87,4.04,-579.66,-936.53,-356.87,2.0,56.88
2022-09-26,Integrated Multi-Trophic Aquaculture (IMTA) - Offshore,Catfish (Channel),Norway,19.9,35.41,7.15,5.68,2.5,0.31,85.84,1.54,78.82,4.53,197.05,356.95,159.9,2.0,53.74
2020-03-16,Deep Sea Cage System,Giant River Prawn,Canada (British Columbia),27.75,34.46,8.01,7.73,1.81,0.36,142.34,1.75,-50.12,3.83,-125.3,-191.86,-66.56,2.0,86.2
2018-10-13,Recirculating Aquaculture System (RAS) - Small Scale,Rainbow Trout,China (Inland Provinces),20.82,35.56,7.79,4.52,3.08,0.1,142.22,1.6,105.31,5.26,305.39,553.41,248.02,2.0,56.18
